ticker,name,exchange
cys,cys investments inc,nyse
cys-a,cys investments inc.,nyse
cys-b,cys investments inc.,nyse
cyt,cytec industries inc.,nyse
czz,cosan limited,nyse
d,dominion resources,nyse
dac,danaos corp.,nyse
dal,delta air lines inc.,nyse
dan,dana holding corp.,nyse
dang,e-commerce china dangdang inc.,nyse
dar,darling international inc.,nyse
data,tableau software inc. class a,nyse
db,deutsche bank ag,nyse
dbd,diebold inc.,nyse
dbl,doubleline opportunistic credi,nyse
dca,dca total return fund,nyse
dce,deutsche bk cap fdg tr x,nyse
dci,donaldson company,nyse
dcm,ntt docomo inc,nyse
dco,ducommun inc.,nyse
dct,dct industrial trust inc,nyse
dcua,dominion resources,nyse
dcub,dominion resources inc. un series b,nyse
dd,e.i. du pont de nemours and company,nyse
dd-a,du pont e i 3.50 pfd,nyse
dd-b,du pont e i 4.50 pfd,nyse
ddc,dominion diamond corporation,nyse
ddd,3d systems corp.,nyse
dde,dover downs gaming & entertainment inc,nyse
ddf,delaware dividend & income,nyse
ddr,ddr corp,nyse
ddr-h,deveprs div rlt dep,nyse
ddr-j,ddr corp,nyse
ddr-k,ddr corp,nyse
dds,dillard's,nyse
ddt,dillard's,nyse
de,deere & company,nyse
deg,etablissements delhaize freres,nyse
dei,douglas emmett,nyse
del,deltic timber corp.,nyse
deo,diageo plc,nyse
dex,delaware enhanced global dividend,nyse
df,dean foods company,nyse
dfp,flaherty & crumrine dynamic,nyse
dfs,discover financial services,nyse
dfs-b,discover financial services,nyse
dft,dupont fabros technology,nyse
dft-a,dupont fabros technology inc.,nyse
dft-b,dupont fabros technology inc.,nyse
dg,dollar general corp.,nyse
dgi,digitalglobe inc,nyse
dgx,quest diagnostics inc.,nyse
dhf,dreyfus high yield strategies fund,nyse
dhg,dws high income opportunities fund,nyse
dhi,d.r. horton,nyse
dhr,danaher corp.,nyse
dht,dht holdings,nyse
dhx,dice holdings,nyse
din,dineequity inc,nyse
dis,walt disney company,nyse
dk,dalek us holdings,nyse
dkl,delek logistics partners lp,nyse
dks,dick's sporting goods inc,nyse
dkt,deutsch bk contingent cap tr v,nyse
dl,china distance education holdings,nyse
dlb,dolby laboratories,nyse
dlph,delphi automotive plc,nyse
dlr,digital realty trust,nyse
dlr-e,digital realtytrust inc.,nyse
dlr-f,digital realty trust inc.,nyse
dlr-g,digital realty trust inc.,nyse
dlx,deluxe corp.,nyse
dm,dolan company,nyse
dm-b,dolan company the,nyse
dmb,dreyfus munipal bond indrastr,nyse
dmd,demand media inc.,nyse
dmo,western asset mortgage defined opp,nyse
dnb,dun & bradstreet corp.,nyse
dni,chartwell dividend & income fund,nyse
dnp,duff & phelps utilities income,nyse
dnr,denbury resources,nyse
dny,the denali fund,nyse
do,diamond offshore drilling,nyse
doc,physicians realty trust,nyse
dole,dole food company,nyse
dom,dominion resources black warrior,nyse
dov,dover corp.,nyse
dow,dow chemical company,nyse
dox,amdocs limited,nyse
dpd,dow 30 premium,nyse
dpg,duff & phelps global utility i,nyse
dpm,dcp midstream partners lp,nyse
dpo,dow 30 premium,nyse
dps,dr pepper snapple group inc,nyse
dpz,domino's pizza inc,nyse
dq,daqq new energy,nyse
drc,dresser-rand group inc.,nyse
drd,drdgold limited,nyse
dre,duke realty corp.,nyse
dre-j,duke rlty dep pfd j,nyse
dre-k,duke realty k,nyse
dre-l,duke rlty dep sh,nyse
drh,diamondrock hospitality company,nyse
dri,darden resorts international,nyse
drl,doral financial corp.,nyse
drq,dril-quip,nyse
dru,dominion resources,nyse
dsl,doubleline income solutions fun,nyse
dsm,dreyfus strategic muni bond fund,nyse
dst,dst systems,nyse
dsu,blackrock debt strategies fund,nyse
dsw,dsw inc.,nyse
dsx,diana shipping inc.,nyse
dte,dte energy company,nyse
dtf,duff & phelps utilities tax-free income,nyse
